"Reference","Qty","Value","DNP","Exclude from BOM","Exclude from Board","Footprint","Datasheet"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C11,C13,C15","12","0.1 µF","","","","Ceramic_Capacitor_0.1uF_CL21B104KBCNNNC:CAPC2012X95N",""
"C10,C12,C14,C31,C35,C36","6","4.7 µF","","","","Ceramic_Capacitor_4.7uF_CL21A475KAQNNNE:CAPC2012X140N",""
"C20,C21","2","2.2 µF","","","","2.2uF_CL21A226MPQNNNE:CAPC2012X140N",""
"C25,C33,C37","3","10 µF","","","","Ceramic_Capacitor_10uF_GRM21BC81C106KA73L:CAPC2012X140N",""
"C29","1","1 µF","","","","1uF_CL10B105KP8NNNC:CAPC1608X90N",""
"C38","1","22 µF","","","","Ceramic_Capacitor_22uF_CL21A226KPCLRNC:CAPC2012X95N",""
"D1,D2,D3,D4","4","IR Emitter","","","","IR_Emitter_TSAL6400:LEDRD254W55D595H900",""
"D5","1","Power Indicator LED","","","","LED_WL-TMRC_5MM:WL-TMRC_5MM",""
"D6,D7","2","User LED","","","","LED_WL-TMRC_5MM:WL-TMRC_5MM",""
"J1","1","PPTC041LFBN-RC","","","","Connector_01x04_PPTC041LFBN-RC:SULLINS_PPTC041LFBN-RC",""
"J2,J3","2","Conn_01x06","","","","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","~"
"J7,J8","2","JST Connector","","","","JST_Connector_B2B-PH-K-S:JST_B2B-PH-K-S",""
"Motor1,Motor2","2","~","","","","Pololu_Motor:Pololu_Motor",""
"Q1,Q2,Q3,Q4","4","IR Receiver","","","","IR_Receiver_ul_LTR-4206E:NoneP157X157-2_LTO","LTR-4206E"
"R1,R2,R18","3","330 Ohm","","","","330_ohm_RC0603FR-07330RL:RESC1607X60N",""
"R3,R6,R9,R14","4","100 Ohm","","","","100_ohm_CRCW0603100RFKEA:RESC1508X50N",""
"R4,R7,R10,R15","4","47 kOhm","","","","47_kohm_RC0603FR-0747KL:RESC1608X55",""
"R5,R8,R11,R16","4","51 Ohm","","","","51_ohm_RC0805FR-0751RL:RESC2012X60N",""
"R12,R13","2","10 kOhm","","","","10_kohm_RMCF0805FT10K0:RESC2012X65N",""
"R17,R19,R20,R21","4","1.8 kOhm","","","","1.8_kohm_RMCF0805JT1K80:RESC2012X65N",""
"S1","1","EG1218","","","","Slide_Switch_EG1218:SW_EG1218",""
"SW2","1","Switch","","","","Switch_4-1437565-2:SW_4-1437565-2",""
"U1,U2,U3,U4","4","MOSFET","","","","MOSFET_ul_2N7002-7-F:SOT-23_1_DIO","2N7002-7-F"
"U5","1","STM32F205RGTx","","","","Package_QFP:LQFP-64_10x10mm_P0.5mm","https://www.st.com/resource/en/datasheet/stm32f205rg.pdf"
"U7","1","H-Bridge","","","","H-Bridge_L293DD:SOIC127P1032X265-20N",""
"U8","1","Voltage Regulator","","","","Voltage_Regulator_AZ1117IH-3.3TRG1:SOT230P700X185-4N",""
